Time (Years),Stock Price
0.796000,64.218744
0.797000,64.648064
0.798000,65.633439
0.799000,65.227149
0.800000,64.599423
0.801000,65.060239
0.802000,65.802611
0.803000,65.352076
0.804000,65.077343
0.805000,63.865221
0.806000,64.190605
0.807000,63.794051
0.808000,63.599996
0.809000,62.471475
0.810000,63.124663
0.811000,62.960032
0.812000,63.452364
0.813000,63.680791
0.814000,63.989156
0.815000,64.339698
0.816000,63.867794
0.817000,63.383085
0.818000,62.811886
0.819000,63.074156
0.820000,63.318802
0.821000,63.168043
0.822000,63.418131
0.823000,63.424032
0.824000,62.950245
0.825000,62.615880
0.826000,61.842284
0.827000,62.557239
0.828000,62.960145
0.829000,62.569946
0.830000,62.686502
0.831000,62.872189
0.832000,63.692211
0.833000,64.256510
0.834000,64.031261
0.835000,64.376492
0.836000,64.428196
0.837000,64.908777
0.838000,65.677780
0.839000,66.016817
0.840000,66.935093
0.841000,67.005945
0.842000,66.537704
0.843000,66.099324
0.844000,66.221389
0.845000,66.748138
0.846000,67.365554
0.847000,67.457255
0.848000,67.141809
0.849000,67.004766
0.850000,66.983890
0.851000,67.136270
0.852000,66.581901
0.853000,66.631878
0.854000,66.663171
0.855000,67.170745
0.856000,67.396569
0.857000,66.741812
0.858000,67.908377
0.859000,68.591412
0.860000,68.790831
0.861000,68.230651
0.862000,67.946348
0.863000,68.048484
0.864000,67.909715
0.865000,68.103033
0.866000,68.702396
0.867000,67.344568
0.868000,67.572244
0.869000,67.079453
0.870000,67.134076
0.871000,66.446004
0.872000,66.166484
0.873000,65.389856
0.874000,65.996719
0.875000,65.463768
0.876000,65.503901
0.877000,64.898933
0.878000,65.308266
0.879000,65.921333
0.880000,65.768729
0.881000,65.777885
0.882000,65.790610
0.883000,66.738588
0.884000,66.587590
0.885000,66.211988
0.886000,65.671165
0.887000,65.646113
0.888000,64.810479
0.889000,64.656643
0.890000,64.749301
0.891000,65.397354
0.892000,66.261092
0.893000,64.934190
0.894000,65.067480
0.895000,64.337595
0.896000,65.395236
0.897000,64.320184
0.898000,64.646990
0.899000,64.859402
0.900000,65.418109
0.901000,64.639147
0.902000,64.926764
0.903000,65.700359
0.904000,66.284565
0.905000,66.483454
0.906000,66.219062
0.907000,67.027935
0.908000,66.784693
0.909000,67.356828
0.910000,66.845899
0.911000,66.214349
0.912000,66.835038
0.913000,66.673038
0.914000,67.227395
0.915000,67.951623
0.916000,67.796375
0.917000,67.600817
0.918000,67.513211
0.919000,67.568943
0.920000,66.892464
0.921000,66.167765
0.922000,67.031581
0.923000,66.621935
0.924000,67.359054
0.925000,67.066847
0.926000,67.579052
0.927000,68.159558
0.928000,68.526018
0.929000,67.986508
0.930000,68.710731
0.931000,68.369396
0.932000,68.014743
0.933000,67.639233
0.934000,67.967947
0.935000,68.161144
0.936000,68.468790
0.937000,69.733567
0.938000,70.256270
0.939000,70.191020
0.940000,70.039461
0.941000,69.794840
0.942000,70.473164
0.943000,70.951734
0.944000,70.269009
0.945000,70.756400
0.946000,70.756815
0.947000,69.524964
0.948000,68.420537
0.949000,68.709793
0.950000,68.188439
0.951000,67.718481
0.952000,67.944676
0.953000,67.867610
0.954000,67.734442
0.955000,67.723915
0.956000,68.032476
0.957000,68.135646
0.958000,69.203205
0.959000,69.227941
0.960000,69.730822
0.961000,70.192136
0.962000,70.682782
0.963000,70.275401
0.964000,70.406445
0.965000,70.471704
0.966000,70.160711
0.967000,69.525732
0.968000,70.652240
0.969000,69.985194
0.970000,70.318693
0.971000,70.589547
0.972000,70.578060
0.973000,69.974217
0.974000,69.595953
0.975000,68.801942
0.976000,68.018894
0.977000,67.974785
0.978000,67.815022
0.979000,67.902084
0.980000,68.116563
0.981000,68.390292
0.982000,67.721551
0.983000,67.178944
0.984000,66.955934
0.985000,66.587274
0.986000,67.214834
0.987000,66.781710
0.988000,66.895929
0.989000,67.677740
0.990000,68.116524
0.991000,67.616272
0.992000,67.661510
0.993000,67.210736
0.994000,66.961253
0.995000,66.988694
0.996000,66.738247
0.997000,66.514314
0.998000,66.328625
0.999000,66.552663
1.000000,66.063561
